Attack,Forward,Turn L, Turn R
740,1199,7880,181
374,2606,6837,183
768,2111,7121,0
630,1584,7600,186
609,1645,7658,88
665,1268,7979,88
540,1687,7598,175
472,1901,7445,182
638,1886,7476,0
204,2072,7724,0
14,1519,8369,98
175,2492,7239,94
271,1812,7825,92
626,2326,6962,86
191,2634,6820,355
0,1872,7761,367
379,1914,7337,370
99,2274,7541,86
100,1459,8349,92
73,2219,7423,285
312,2540,6891,257
133,2966,6734,167
139,2133,7208,520
277,1451,7644,628
343,2106,6851,700
143,2203,7378,276
52,2883,6793,272
176,2787,6863,174
93,2585,7237,85
132,1492,8287,89
70,2132,7798,0
14,1710,8276,0
129,2405,7116,350
10,1618,8103,269
0,1637,7915,448
100,1679,7844,377
1,1610,7922,467
199,1739,7691,371
369,2584,6681,366
344,2719,6756,181
212,1886,7802,100
100,1561,8241,98
100,1873,8027,0
0,2666,7334,0
0,1284,8624,92
0,1630,8370,0
100,2491,7310,99
30,2135,7754,81
16,1693,8020,271
302,1383,7871,444
120,1965,7655,260
330,2082,7580,8
412,1670,7897,21
343,1706,7860,91
211,1592,7928,269
728,1047,8137,88
550,1184,7983,283
832,1598,7197,373
801,1744,7369,86
952,1496,6990,562
452,2075,7221,252
257,2297,7325,121
169,1354,8477,0
224,1743,7933,100
132,1647,8031,190
102,2131,7620,147
338,1703,7687,272
257,2177,7391,175
172,1110,8532,186
382,1163,8179,276
231,2068,7424,277
339,1341,8227,93
356,2072,7572,0
1,1850,8049,100
162,1632,8206,0
108,1074,8527,291
15,1803,7997,185
306,1875,7552,267
100,2179,7433,288
103,1623,8099,175
200,2199,7601,0
100,2098,7612,190
0,1272,8728,0
0,1580,8420,0
237,1916,7747,100
200,1355,8445,0
297,1259,8444,0
100,1803,8097,0
299,1665,8036,0
257,1329,8414,0
251,1369,8380,0
327,2098,7575,0
450,1796,7754,0
145,1497,8344,14
421,2236,7343,0
150,1956,7894,0
349,1943,7523,185
132,1437,8341,90
96,1984,7824,96
73,1930,7723,274
32,1764,8026,178
179,2570,7249,2
100,2453,7447,0
100,2913,6987,0
100,1937,7963,0
100,2056,7829,15
0,2647,7168,185
46,2162,7692,100
212,1988,7713,87
100,1753,7772,375
300,2042,7557,101
104,2242,7537,117
113,2400,7467,20
247,2180,7569,4
282,1611,8098,9
69,1310,8433,188
135,1195,8670,0
310,1618,8072,0
244,2170,7483,103
309,1848,7740,103
127,2085,7473,315
0,2404,7588,8
200,1532,8171,97
363,1278,8156,203
64,1543,8393,0
408,1453,8040,99
533,1680,7687,100
653,1634,7525,188
374,1683,7751,192
291,1995,7151,563
119,1115,8216,550
0,1714,7920,366
41,1737,8128,94
176,1983,7663,178
324,1629,8047,0
554,1819,7443,184
317,2147,7436,100
294,2118,7588,0
175,2334,7491,0
54,1923,8023,0
232,1663,8105,0
349,1790,7776,85
387,1549,8064,0
276,1717,8007,0
171,1770,7682,377
186,1531,8105,178
135,2377,7397,91
64,1265,8572,99
226,967,8807,0
38,1112,8850,0
181,1721,8098,0
289,1845,7866,0
604,2252,7137,7
296,2527,7083,94
108,1631,8171,90
159,1958,7883,0
92,1867,8041,0
371,1930,7694,5
100,2067,7817,16
82,1675,8143,100
82,2014,7904,0
19,1637,8237,107
33,2022,7851,94
170,1740,8088,2
215,2410,7375,0
138,2317,7540,5
169,2726,7029,76
134,1849,7890,127
18,2087,7773,122
121,2136,7729,14
427,2111,7375,87
246,2113,7552,89
307,1607,7983,103
395,3108,6416,81
75,1621,8212,92
279,1210,8421,90
6,1781,8113,100
41,1309,8644,6
148,1548,8189,115
145,1605,8145,105
192,1890,7818,100
397,2391,7212,0
234,1727,8035,4
290,1365,8213,132
392,1785,7714,109
716,1516,7687,81
743,1522,7484,251
756,2089,6978,177
503,1580,7698,219
763,1627,7301,309
576,1189,7937,298
782,2119,6986,113
430,1736,7644,190
856,2112,6898,134
623,2046,7327,4
535,1273,7998,194
